Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2016,2016,M,Morocco,MAR,World,All CPCs,All MOTs,TOTAL,All Commodities,41696101721 ,41696101721,
2019,2019,M,New Zealand,NZL,World,All CPCs,All MOTs,TOTAL,All Commodities,42271276496 ,42271276496,40493516397
2019,2019,M,Peru,PER,World,All CPCs,All MOTs,TOTAL,All Commodities,42376434141 ,42376434141,40170252900
2016,2016,M,Iran,IRN,World,All CPCs,All MOTs,TOTAL,All Commodities,42702117908 ,42702117908,
2018,2018,M,Nigeria,NGA,World,All CPCs,All MOTs,TOTAL,All Commodities,43011523214 ,43011523215,
2018,2018,M,Peru,PER,World,All CPCs,All MOTs,TOTAL,All Commodities,43142519807 ,43142519807,41069061168
2018,2018,M,New Zealand,NZL,World,All CPCs,All MOTs,TOTAL,All Commodities,43736245673 ,43736245674,
2015,2015,M,Pakistan,PAK,World,All CPCs,All MOTs,TOTAL,All Commodities,43989644709 ,43989644709,
2016,2016,M,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,44831142874 ,44831142874,
2017,2017,M,Morocco,MAR,World,All CPCs,All MOTs,TOTAL,All Commodities,45039093063 ,45039093064,
2020,2020,M,Pakistan,PAK,World,All CPCs,All MOTs,TOTAL,All Commodities,45775135124 ,45775135124,0
2017,2017,M,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,46050188812 ,46050188813,43951501737
2017,2017,M,Algeria,DZA,World,All CPCs,All MOTs,TOTAL,All Commodities,46053015989 ,46053015989,
2016,2016,M,Pakistan,PAK,World,All CPCs,All MOTs,TOTAL,All Commodities,46998269105 ,46998269105,
2016,2016,M,Algeria,DZA,World,All CPCs,All MOTs,TOTAL,All Commodities,47090683586 ,47090683586,
